cart_item_id,transaction_id,menu_item_id,item_name,price,quantity
1,1,4,"French Fries",2.49,1
2,1,8,"Ice Cream -Vanilla",1.29,1
3,1,2,Coca-Cola,1.99,1
4,2,5,"Apple Slices",1.29,1
5,2,9,"Large Fries",2.99,1
6,3,12,"McChicken Combo",7.99,1
7,3,11,"Big Mac Combo",9.99,1
8,4,1,"Big Mac",5.99,1
9,4,10,"Chocolate Milk Shake",3.29,1
10,4,7,"Diet Coke",1.99,1
11,4,10,"Chocolate Milk Shake",3.29,1
12,5,4,"French Fries",2.49,1
13,5,7,"Diet Coke",1.99,1
14,5,2,Coca-Cola,1.99,1
15,6,8,"Ice Cream -Vanilla",1.29,1
16,6,7,"Diet Coke",1.99,1
17,7,1,"Big Mac",5.99,1
18,7,6,McChicken,3.99,1
19,7,5,"Apple Slices",1.29,1
20,7,8,"Ice Cream -Vanilla",1.29,1
21,8,2,Coca-Cola,1.99,1
22,9,1,"Big Mac",5.99,1
23,9,2,Coca-Cola,1.99,1
24,9,4,"French Fries",2.49,1
25,9,8,"Ice Cream -Vanilla",1.29,1
26,9,11,"Big Mac Combo",9.99,1
27,10,7,"Diet Coke",1.99,1
28,11,12,"McChicken Combo",7.99,1
30,12,12,"McChicken Combo",7.99,1
33,13,12,"McChicken Combo",7.99,1
34,13,8,"Ice Cream -Vanilla",1.29,1
35,13,7,"Diet Coke",1.99,2
36,13,11,"Big Mac Combo",9.99,3
38,14,11,"Big Mac Combo",9.99,1
39,14,7,"Diet Coke",1.99,1
40,14,10,"Chocolate Milk Shake",3.29,1
41,14,9,"Large Fries",2.99,1
42,15,1,"Big Mac",5.99,1
43,15,2,Coca-Cola,1.99,1
44,16,10,"Chocolate Milk Shake",3.29,1
45,16,3,"Apple Pie",1.49,1
46,16,11,"Big Mac Combo",9.99,1
47,17,3,"Apple Pie",1.49,1
48,17,4,"French Fries",2.49,1
49,17,2,Coca-Cola,1.99,1
50,18,10,"Chocolate Milk Shake",3.29,1
51,18,6,McChicken,3.99,1
52,18,4,"French Fries",2.49,1
53,19,1,"Big Mac",5.99,1
54,19,2,Coca-Cola,1.99,1
57,20,8,"Ice Cream -Vanilla",1.29,3
59,21,6,McChicken,3.99,1
60,21,7,"Diet Coke",1.99,1
61,22,6,McChicken,3.99,1
62,22,1,"Big Mac",5.99,1
63,22,11,"Big Mac Combo",9.99,1
64,22,9,"Large Fries",2.99,1
65,23,10,"Chocolate Milk Shake",3.29,1
66,23,11,"Big Mac Combo",9.99,1
67,24,11,"Big Mac Combo",9.99,1
68,24,12,"McChicken Combo",7.99,1
69,25,11,"Big Mac Combo",9.99,1
70,25,12,"McChicken Combo",7.99,1
71,26,10,"Chocolate Milk Shake",3.29,1
72,26,11,"Big Mac Combo",9.99,1
74,28,10,"Chocolate Milk Shake",3.29,1
75,28,12,"McChicken Combo",7.99,1
76,29,10,"Chocolate Milk Shake",3.29,2
77,30,10,"Chocolate Milk Shake",3.29,1
79,31,10,"Chocolate Milk Shake",3.29,1
84,34,10,"Chocolate Milk Shake",3.29,1
86,34,12,"McChicken Combo",7.99,1
87,35,1,"Big Mac",5.99,1
88,36,1,"Big Mac",5.99,1
89,36,11,"Big Mac Combo",9.99,1
90,37,10,"Chocolate Milk Shake",3.29,1
91,38,11,"Big Mac Combo",9.99,1
92,38,10,"Chocolate Milk Shake",3.29,1
93,39,10,"Chocolate Milk Shake",3.29,3
94,39,5,"Apple Slices",1.29,1
95,40,8,"Ice Cream -Vanilla",1.29,1
96,40,7,"Diet Coke",1.99,1
97,41,11,"Big Mac Combo",9.99,1
98,41,8,"Ice Cream -Vanilla",1.29,1
99,42,1,"Big Mac",5.99,1
100,42,2,Coca-Cola,1.99,1
101,42,3,"Apple Pie",1.49,1
102,43,1,"Big Mac",5.99,1
103,43,4,"French Fries",2.49,1
104,44,2,Coca-Cola,1.99,1
105,44,3,"Apple Pie",1.49,1
106,44,6,McChicken,3.99,1
107,45,10,"Chocolate Milk Shake",3.29,1
108,45,11,"Big Mac Combo",9.99,1
109,45,12,"McChicken Combo",7.99,1
110,53,1,"Big Mac",5.99,1
111,53,2,Coca-Cola,1.99,1
112,54,1,"Big Mac",5.99,1
113,54,2,Coca-Cola,1.99,1
114,54,3,"Apple Pie",1.49,1
115,55,5,"Apple Slices",1.29,1
116,55,6,McChicken,3.99,1
118,57,10,"Chocolate Milk Shake",3.29,1
119,57,11,"Big Mac Combo",9.99,1
120,58,10,"Chocolate Milk Shake",3.29,1
121,58,11,"Big Mac Combo",9.99,1
122,59,7,"Diet Coke",1.99,1
123,59,8,"Ice Cream -Vanilla",1.29,1
124,60,10,"Chocolate Milk Shake",3.29,1
125,60,11,"Big Mac Combo",9.99,1
126,60,12,"McChicken Combo",7.99,1
127,61,2,Coca-Cola,1.99,1
128,61,3,"Apple Pie",1.49,1
129,62,10,"Chocolate Milk Shake",3.29,1
130,62,11,"Big Mac Combo",9.99,1
131,63,6,McChicken,3.99,1
132,63,10,"Chocolate Milk Shake",3.29,1
133,63,9,"Large Fries",2.99,1
134,64,5,"Apple Slices",1.29,1
135,65,12,"McChicken Combo",7.99,1
136,66,1,"Big Mac",5.99,1
137,66,2,Coca-Cola,1.99,1
138,67,1,"Big Mac",5.99,1
139,67,8,"Ice Cream -Vanilla",1.29,1
140,68,10,"Chocolate Milk Shake",3.29,1
141,69,10,"Chocolate Milk Shake",3.29,1
142,69,11,"Big Mac Combo",9.99,1
143,70,1,"Big Mac",5.99,1
144,70,4,"French Fries",2.49,1
150,73,5,"Apple Slices",1.29,1
151,74,10,"Chocolate Milk Shake",3.29,1
152,75,2,Coca-Cola,1.99,1
153,75,7,"Diet Coke",1.99,1
154,76,10,"Chocolate Milk Shake",3.29,1
155,77,10,"Chocolate Milk Shake",3.29,1
156,77,11,"Big Mac Combo",9.99,1
157,78,9,"Large Fries",2.99,1
158,78,12,"McChicken Combo",7.99,1
159,78,11,"Big Mac Combo",9.99,1
160,79,10,"Chocolate Milk Shake",3.29,1
161,79,7,"Diet Coke",1.99,1
162,80,11,"Big Mac Combo",9.99,1
163,81,7,"Diet Coke",1.99,2
164,81,8,"Ice Cream -Vanilla",1.29,1
165,81,12,"McChicken Combo",7.99,1
166,82,11,"Big Mac Combo",9.99,1
167,83,13,"Strawberry Milk Shake",3.99,1
168,83,11,"Big Mac Combo",9.99,1
169,84,13,"Strawberry Milk Shake",3.99,1
172,85,11,"Big Mac Combo",9.99,1
173,85,13,"Strawberry Milk Shake",3.99,1
174,85,8,"Ice Cream -Vanilla",1.29,1
175,86,10,"Chocolate Milk Shake",3.99,1
176,86,7,"Diet Coke",1.99,1
177,86,4,"French Fries",2.49,1
178,86,1,"Big Mac",5.99,1
179,87,13,"Strawberry Milk Shake",3.99,1
180,87,10,"Chocolate Milk Shake",3.99,1
181,88,13,"Strawberry Milk Shake",3.99,1
182,89,1,"Big Mac",5.99,1
183,89,11,"Big Mac Combo",9.99,1
184,89,13,"Strawberry Milk Shake",3.99,1
185,89,12,"McChicken Combo",7.99,1
186,90,13,"Strawberry Milk Shake",3.99,1
187,91,13,"Strawberry Milk Shake",3.99,1
188,92,13,"Strawberry Milk Shake",3.99,1
189,93,12,"McChicken Combo",7.99,1
190,94,13,"Strawberry Milk Shake",3.99,1
192,95,1,"Big Mac",5.99,1
193,95,2,Coca-Cola,1.99,1
194,95,3,"Apple Pie",1.49,1
195,96,7,"Diet Coke",1.99,1
196,96,10,"Chocolate Milk Shake",3.99,1
197,97,11,"Big Mac Combo",9.99,1
198,97,12,"McChicken Combo",7.99,1
199,97,13,"Strawberry Milk Shake",3.99,1
200,98,8,"Ice Cream -Vanilla",1.29,3
201,98,11,"Big Mac Combo",9.99,1
