transaction_id,user_id,total_amount,transaction_date,status_id,address_id
1,1,0.00,"2025-05-07 16:48:51",10,7
2,1,0.00,"2025-05-07 16:54:43",12,7
3,1,0.00,"2025-05-07 16:55:42",9,7
4,1,0.00,"2025-05-07 16:57:44",9,7
5,1,0.00,"2025-05-07 17:05:42",9,7
6,1,0.00,"2025-05-07 17:06:32",11,7
7,1,0.00,"2025-05-07 17:08:09",9,7
8,1,0.00,"2025-05-07 17:12:43",7,7
9,1,0.00,"2025-05-07 17:14:26",12,7
10,1,0.00,"2025-05-07 17:16:00",7,7
11,1,0.00,"2025-05-07 17:22:56",8,7
12,1,0.00,"2025-05-07 18:58:20",10,7
13,1,0.00,"2025-05-07 19:08:17",7,7
14,1,18.26,"2025-05-07 19:12:57",9,7
15,1,0.00,"2025-05-07 19:13:36",12,7
16,1,14.77,"2025-05-07 19:30:30",9,7
17,1,5.97,"2025-05-07 19:31:00",7,7
18,1,9.77,"2025-05-07 22:19:21",9,7
19,1,0.00,"2025-05-07 22:19:52",9,7
20,1,3.87,"2025-05-07 22:26:28",9,7
21,1,5.98,"2025-05-07 22:36:01",9,7
22,1,22.96,"2025-05-07 22:41:03",9,7
23,1,13.28,"2025-05-07 22:47:35",9,7
24,1,17.98,"2025-05-07 22:48:36",9,7
25,1,0.00,"2025-05-08 17:00:56",7,7
26,1,0.00,"2025-05-08 17:09:37",7,7
27,1,0.00,"2025-05-08 17:15:38",7,7
28,1,0.00,"2025-05-08 17:15:43",7,7
29,1,0.00,"2025-05-08 17:33:55",7,7
30,1,0.00,"2025-05-08 17:44:04",7,7
31,1,0.00,"2025-05-08 17:45:54",7,7
32,1,0.00,"2025-05-08 17:52:52",7,7
33,1,0.00,"2025-05-10 02:28:54",7,7
34,1,0.00,"2025-05-10 02:29:20",7,7
35,1,0.00,"2025-05-10 02:30:44",7,7
36,1,0.00,"2025-05-10 02:40:20",7,7
37,1,0.00,"2025-05-10 03:13:05",7,7
38,NULL,0.00,"2025-05-10 14:05:19",7,NULL
39,NULL,0.00,"2025-05-10 14:06:12",7,NULL
40,NULL,0.00,"2025-05-10 14:14:28",7,NULL
41,NULL,0.00,"2025-05-10 14:36:10",7,NULL
42,NULL,0.00,"2025-05-10 21:23:48",7,NULL
43,NULL,0.00,"2025-05-10 21:38:47",7,NULL
44,NULL,0.00,"2025-05-10 21:59:14",7,NULL
45,NULL,0.00,"2025-05-10 22:04:30",7,NULL
46,NULL,0.00,"2025-05-10 22:15:42",7,NULL
47,NULL,0.00,"2025-05-10 22:30:11",7,NULL
48,NULL,0.00,"2025-05-10 22:33:56",7,NULL
49,NULL,0.00,"2025-05-11 05:36:17",7,NULL
50,NULL,0.00,"2025-05-11 06:02:11",7,NULL
51,NULL,0.00,"2025-05-11 12:40:29",7,NULL
52,NULL,0.00,"2025-05-11 12:41:48",7,NULL
53,NULL,0.00,"2025-05-11 12:51:34",7,NULL
54,NULL,0.00,"2025-05-11 13:21:47",7,NULL
55,NULL,0.00,"2025-05-11 13:27:39",7,NULL
56,NULL,0.00,"2025-05-11 13:29:02",7,NULL
57,NULL,0.00,"2025-05-11 13:29:08",7,NULL
58,NULL,0.00,"2025-05-11 16:57:41",7,NULL
59,NULL,0.00,"2025-05-11 16:58:49",7,NULL
60,NULL,0.00,"2025-05-11 17:16:03",7,NULL
61,NULL,0.00,"2025-05-12 01:19:55",7,NULL
62,NULL,0.00,"2025-05-12 01:42:22",7,NULL
63,NULL,0.00,"2025-05-12 02:12:15",7,NULL
64,NULL,0.00,"2025-05-12 02:13:01",7,NULL
65,NULL,0.00,"2025-05-12 02:13:50",7,NULL
66,NULL,0.00,"2025-05-12 02:45:27",8,NULL
67,NULL,0.00,"2025-05-12 02:50:29",7,NULL
68,NULL,0.00,"2025-05-12 02:51:03",7,NULL
69,NULL,0.00,"2025-05-12 02:52:04",7,NULL
70,NULL,0.00,"2025-05-12 09:44:52",12,NULL
71,NULL,0.00,"2025-05-12 09:48:04",7,NULL
72,NULL,0.00,"2025-05-12 10:09:52",7,NULL
73,NULL,0.00,"2025-05-12 10:09:59",7,NULL
74,NULL,0.00,"2025-05-12 10:11:21",7,NULL
75,NULL,0.00,"2025-05-12 10:18:41",7,NULL
76,NULL,0.00,"2025-05-12 10:21:21",7,NULL
77,NULL,0.00,"2025-05-12 10:46:29",7,9
78,NULL,0.00,"2025-05-12 10:47:08",7,11
79,NULL,0.00,"2025-05-12 11:43:24",7,10
80,NULL,0.00,"2025-05-12 11:58:03",7,10
81,NULL,0.00,"2025-05-12 12:04:47",10,10
82,NULL,0.00,"2025-05-12 12:24:24",11,11
83,NULL,0.00,"2025-05-12 16:16:09",8,NULL
84,NULL,0.00,"2025-05-12 16:23:12",7,11
85,NULL,0.00,"2025-05-12 16:35:37",8,9
86,NULL,0.00,"2025-05-13 13:40:26",8,NULL
87,NULL,0.00,"2025-05-14 05:27:34",9,NULL
88,NULL,0.00,"2025-05-15 05:21:01",7,NULL
89,NULL,0.00,"2025-05-15 18:57:16",7,7
90,NULL,0.00,"2025-05-15 19:01:14",7,NULL
91,NULL,0.00,"2025-05-15 20:15:03",7,NULL
92,NULL,0.00,"2025-05-15 20:23:25",7,NULL
93,NULL,0.00,"2025-05-15 20:30:52",7,NULL
94,NULL,0.00,"2025-05-15 20:32:23",7,10
95,NULL,0.00,"2025-05-15 20:50:08",10,NULL
96,NULL,0.00,"2025-05-16 07:32:08",7,NULL
97,NULL,0.00,"2025-05-16 07:34:54",8,NULL
98,NULL,0.00,"2025-05-18 05:34:35",10,11
